id,question,answer
46,健身房开放到几点,需视当日房态安排，建议提前联系前台。
47,能否行李寄存,标准时间为上述说明，若需变更请咨询前台。
48,能否行李寄存,标准时间为上述说明，若需变更请咨询前台。
49,早餐时间是几点,相关设施位置与开放时间以酒店公告为准。
50,是否有无烟房,服务可能产生费用，请以当日价格为准。
51,可以提前入住吗,服务可能产生费用，请以当日价格为准。
52,是否可叫醒服务,标准时间为上述说明，若需变更请咨询前台。
53,能否行李寄存,相关设施位置与开放时间以酒店公告为准。
54,是否可叫醒服务,相关设施位置与开放时间以酒店公告为准。
55,早餐时间是几点,相关设施位置与开放时间以酒店公告为准。
56,可否加床,相关设施位置与开放时间以酒店公告为准。
57,是否有亲子房,服务可能产生费用，请以当日价格为准。
58,健身房开放到几点,相关设施位置与开放时间以酒店公告为准。
59,是否有亲子房,标准时间为上述说明，若需变更请咨询前台。
60,健身房开放到几点,需视当日房态安排，建议提前联系前台。
61,健身房开放到几点,相关设施位置与开放时间以酒店公告为准。
62,可否加床,需视当日房态安排，建议提前联系前台。
63,能否行李寄存,需视当日房态安排，建议提前联系前台。
64,能否延迟退房,标准时间为上述说明，若需变更请咨询前台。
65,能否延迟退房,标准时间为上述说明，若需变更请咨询前台。
66,是否有无烟房,需视当日房态安排，建议提前联系前台。
67,能否延迟退房,服务可能产生费用，请以当日价格为准。
68,是否有亲子房,相关设施位置与开放时间以酒店公告为准。
69,可以提前入住吗,相关设施位置与开放时间以酒店公告为准。
70,能否行李寄存,标准时间为上述说明，若需变更请咨询前台。
71,是否提供接机,相关设施位置与开放时间以酒店公告为准。
72,是否有亲子房,需视当日房态安排，建议提前联系前台。
73,能否开具发票,需视当日房态安排，建议提前联系前台。
74,是否有无烟房,标准时间为上述说明，若需变更请咨询前台。
75,是否可叫醒服务,需视当日房态安排，建议提前联系前台。
76,是否可叫醒服务,相关设施位置与开放时间以酒店公告为准。
77,是否可叫醒服务,服务可能产生费用，请以当日价格为准。
78,停车是否免费,需视当日房态安排，建议提前联系前台。
79,是否有无烟房,相关设施位置与开放时间以酒店公告为准。
80,早餐时间是几点,标准时间为上述说明，若需变更请咨询前台。
81,早餐时间是几点,需视当日房态安排，建议提前联系前台。
82,可否加床,标准时间为上述说明，若需变更请咨询前台。
83,是否有亲子房,服务可能产生费用，请以当日价格为准。
84,可以提前入住吗,相关设施位置与开放时间以酒店公告为准。
85,是否提供接机,相关设施位置与开放时间以酒店公告为准。
86,早餐时间是几点,服务可能产生费用，请以当日价格为准。
87,能否延迟退房,服务可能产生费用，请以当日价格为准。
88,能否行李寄存,标准时间为上述说明，若需变更请咨询前台。
89,是否有亲子房,需视当日房态安排，建议提前联系前台。
90,健身房开放到几点,服务可能产生费用，请以当日价格为准。
91,是否提供接机,服务可能产生费用，请以当日价格为准。
92,健身房开放到几点,标准时间为上述说明，若需变更请咨询前台。
93,可以提前入住吗,相关设施位置与开放时间以酒店公告为准。
94,停车是否免费,服务可能产生费用，请以当日价格为准。
95,能否行李寄存,需视当日房态安排，建议提前联系前台。
96,是否提供接机,相关设施位置与开放时间以酒店公告为准。
97,可以提前入住吗,服务可能产生费用，请以当日价格为准。
98,可以提前入住吗,相关设施位置与开放时间以酒店公告为准。
99,可否加床,服务可能产生费用，请以当日价格为准。
100,可否加床,需视当日房态安排，建议提前联系前台。
